Años;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Comuna 1;243946;245308;246689;248069;249433;250770;252053;253271;254408;255457;256405;257235;257934;258497;258922;259205
Comuna2;150714;150573;150428;150278;150130;149985;149848;149720;149607;149510;149430;149371;149337;149328;149345;149389
Comuna 3;191323;191536;191750;191963;192171;192375;192573;192763;192945;193115;193276;193425;193560;193682;193790;193884
Comuna 4;234933;235497;236071;236646;237214;237769;238303;238809;239279;239712;240100;240437;240716;240937;241096;241193
Comuna 5;185301;185544;185789;186034;186276;186512;186740;186956;187159;187348;187518;187670;187800;187907;187991;188053
Comuna 6;183046;183309;183576;183843;184105;184363;184611;184846;185067;185271;185456;185620;185760;185875;185964;186028
Comuna 7;236838;237389;237946;238505;239057;239597;240116;240607;241065;241484;241861;242188;242460;242674;242828;242921
Comuna 8;219638;220655;221693;222733;223764;224770;225737;226649;227495;228266;228953;229541;230018;230380;230623;230745
Comuna 9;168681;168964;169248;169533;169814;170087;170353;170605;170842;171062;171264;171444;171600;171733;171839;171921
Comuna 10;169372;169506;169640;169775;169908;170037;170163;170282;170394;170497;170592;170677;170750;170811;170859;170896
Comuna 11;189760;189795;189829;189861;189893;189925;189956;189986;190016;190046;190076;190105;190135;190165;190195;190225
Comuna 12;211320;211699;212082;212467;212846;213218;213576;213914;214229;214518;214777;215002;215189;215335;215442;215505
Comuna 13;234846;235011;235178;235342;235506;235666;235819;235967;236107;236238;236358;236468;236566;236650;236723;236781
Comuna 14;226489;226558;226626;226692;226758;226821;226884;226944;227003;227060;227115;227168;227219;227268;227315;227360
Comuna 15;182274;182295;182315;182335;182354;182372;182390;182409;182427;182445;182465;182485;182506;182528;182551;182574
Total;3028481;3033639;3038860;3044076;3049229;3054267;3059122;3063728;3068043;3072029;3075646;3078836;3081550;3083770;3085483;3086680
